,sub_dataset,F1,AUC,Brier,Accuracy,Experiment_Group
0,ai.jsonl,0.9584967995044394,0.9965971902958205,0.02421473408212072,0.973253493013972,Pair 1 (Free)
1,ai.jsonl,0.742435030259879,0.8461533362402638,0.15899745840514007,0.7470942934545137,Pair 2 (SI)
2,ai_gpt4.jsonl,0.8404255319148937,0.918641975308642,0.15680256039913223,0.8333333333333334,Pair 3 (Medium)
3,ai_llama.jsonl,0.7486033519553073,0.8646913580246914,0.17949585444061367,0.75,Pair 3 (Medium)
4,ai_gpt4.jsonl,0.6179775280898876,0.6788888888888889,0.2284839676933723,0.6222222222222222,Pair 3 (Hard)
5,ai_llama.jsonl,0.7415730337078652,0.8345679012345679,0.19007088218468704,0.7444444444444445,Pair 3 (Hard)
